match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,average_rank,leaver_status,party_size,hero_variant,start_time_iso
8622800105,1,True,2575,22,7,14,1766809123,,13,11,24,54,0,3.0,1,2025-12-27 04:18:43
8622770470,0,True,2246,22,7,88,1766806532,,12,8,28,52,0,,2,2025-12-27 03:35:32
8621376232,131,False,2631,22,7,71,1766724322,,8,12,34,55,0,,1,2025-12-26 04:45:22
8621354714,1,True,1529,22,7,26,1766722192,,4,4,17,55,0,2.0,1,2025-12-26 04:09:52
8621332247,131,False,1951,22,7,100,1766719932,,8,7,16,53,0,,1,2025-12-26 03:32:12
8621309147,130,False,1857,22,7,100,1766717612,,15,5,11,55,0,,1,2025-12-26 02:53:32
8621285488,0,False,1782,22,7,14,1766715247,,2,10,12,53,0,,1,2025-12-26 02:14:07
8621242825,2,True,3959,22,7,71,1766710832,,12,14,39,52,0,,1,2025-12-26 01:00:32
8616056048,4,True,2037,22,7,100,1766380625,22.0,20,5,24,53,0,1.0,1,2025-12-22 05:17:05
8614502314,2,False,1892,22,7,41,1766294107,,4,6,7,55,0,,2,2025-12-21 05:15:07
8614462797,4,True,2689,22,7,8,1766290937,,9,17,9,54,0,,1,2025-12-21 04:22:17
