player_slot,team_number,team_slot,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,backpack_0,backpack_1,backpack_2,item_neutral,item_neutral2,kills,deaths,assists,leaver_status,last_hits,denies,gold_per_min,xp_per_min,level,net_worth,aghanims_scepter,aghanims_shard,moonshard,hero_damage,tower_damage,hero_healing,gold,gold_spent,ability_upgrades_arr,rank_tier,computed_mmr,start_time,duration,game_mode,patch,isRadiant,win,total_gold,total_xp,kills_per_min,kda,abandons,benchmarks,match_id,hero_name,item_0_name,item_1_name,item_2_name,item_3_name,item_4_name,item_5_name,backpack_0_name,backpack_1_name,backpack_2_name,item_neutral_name,item_neutral2_name
2,0,2,81,63,112,151,154,114,36,4206,11,0,2097,1583,15,10,15,0,204,5,659,1192,27,25515,0,1,0,48360,14086,0,5130,21900,"[5426, 5428, 5427, 5427, 5427, 5429, 5428, 5426, 5426, 5426, 5428, 6618, 5429, 5427, 5428, 872, 5429, 6619, 870, 871]",54,3766.99,1769144328,2333,4,59,True,1,25624,46348,0.3857693956279469,2.73,0,"{'gold_per_min': {'raw': 659, 'pct': 0.8960396039603961}, 'xp_per_min': {'raw': 1192, 'pct': 0.9752475247524752}, 'kills_per_min': {'raw': 0.3857693956279468, 'pct': 0.8415841584158416}, 'last_hits_per_min': {'raw': 5.246463780540077, 'pct': 0.5866336633663366}, 'hero_damage_per_min': {'raw': 1243.7205315045007, 'pct': 0.9702970297029703}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.9801980198019802}, 'tower_damage': {'raw': 14086, 'pct': 0.9554455445544554}}",8660412202,Chaos Knight,Power Treads,Assault Cuirass,Armlet of Mordiggian,Sange and Yasha,Heart of Tarrasque,Magic Wand,Greater Healing Lotus,Quelling Blade,,Duelist Gloves,Mystical
1,0,1,74,29,108,65,279,1802,0,0,0,0,359,1594,8,15,11,0,93,6,362,361,15,11516,0,0,0,16648,0,0,1216,10440,"[5372, 5370, 5372, 5371, 5372, 5371, 5372, 5371, 5372, 5370, 6099, 5370, 5370, 5372, 5371, 5372, 1654]",54,3766.99,1769141698,2322,4,59,True,0,14009,13970,0.2067183462532299,1.19,0,"{'gold_per_min': {'raw': 362, 'pct': 0.2110009017132552}, 'xp_per_min': {'raw': 361, 'pct': 0.06853020739404869}, 'kills_per_min': {'raw': 0.20671834625322996, 'pct': 0.5293056807935077}, 'last_hits_per_min': {'raw': 2.4031007751937983, 'pct': 0.260595130748422}, 'hero_damage_per_min': {'raw': 430.1808785529716, 'pct': 0.15689810640216412}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8322813345356177}, 'tower_damage': {'raw': 0, 'pct': 0.10009017132551848}}",8660387354,Invoker,Boots of Speed,Aghanim's Scepter,Hand of Midas,Ring of Tarrasque,Tiara of Selemene,,,,,Essence Ring,Vampiric
3,0,3,102,50,939,137,4205,30,36,0,0,0,1605,1584,1,10,18,0,131,6,331,500,19,12454,0,0,0,16450,411,4585,94,12980,"[5586, 5585, 5587, 5586, 5586, 5588, 5585, 5586, 5587, 5585, 5587, 5588, 5587, 5585, 7340, 972, 5588]",54,3766.99,1769057458,2530,4,59,True,0,13957,21083,0.0237154150197628,1.73,0,"{'gold_per_min': {'raw': 331, 'pct': 0.3785488958990536}, 'xp_per_min': {'raw': 500, 'pct': 0.3911671924290221}, 'kills_per_min': {'raw': 0.023715415019762844, 'pct': 0.1167192429022082}, 'last_hits_per_min': {'raw': 3.1067193675889326, 'pct': 0.5520504731861199}, 'hero_damage_per_min': {'raw': 390.1185770750988, 'pct': 0.5205047318611987}, 'hero_healing_per_min': {'raw': 108.73517786561264, 'pct': 0.6908517350157729}, 'tower_damage': {'raw': 411, 'pct': 0.45741324921135645}}",8659172466,Abaddon,Phase Boots,Harpoon,Radiance,Great Healing Lotus,Gem of True Sight,Magic Wand,,,,Serrated Shiv,Alert
131,1,3,105,259,180,102,108,232,235,0,42,0,1158,1583,14,17,10,0,96,0,442,554,21,18507,0,1,0,44167,0,0,32,18945,"[879, 5601, 879, 5601, 879, 5599, 5601, 5601, 879, 886, 6997, 886, 5599, 886, 886, 6282, 5599, 412]",54,3766.99,1769054208,2777,4,59,False,0,20457,25640,0.3024846957148001,1.33,0,"{'gold_per_min': {'raw': 442, 'pct': 0.625920471281296}, 'xp_per_min': {'raw': 554, 'pct': 0.4727540500736377}, 'kills_per_min': {'raw': 0.30248469571480013, 'pct': 0.865979381443299}, 'last_hits_per_min': {'raw': 2.074180770615772, 'pct': 0.27982326951399117}, 'hero_damage_per_min': {'raw': 954.2743968311127, 'pct': 0.7290132547864506}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8468335787923417}, 'tower_damage': {'raw': 0, 'pct': 0.18114874815905743}}",8659142743,Techies,Kaya,Arcane Boots,Force Staff,Aghanim's Scepter,Aether Lens,Octarine Core,,Observer Ward,,Whisper of the Dread,Mystical
3,0,3,62,226,202,98,108,232,214,36,0,0,1721,1577,9,24,22,0,61,5,493,629,24,20905,0,0,0,15395,102,0,845,20610,"[1314, 5286, 5287, 1314, 5286, 5288, 5286, 5286, 5287, 1314, 5287, 6009, 5288, 1314, 5287, 7040, 5288, 878]",54,3766.99,1768973566,3278,4,59,True,1,26934,34364,0.1647345942647956,1.24,0,"{'gold_per_min': {'raw': 493, 'pct': 0.6225596529284165}, 'xp_per_min': {'raw': 629, 'pct': 0.5704989154013015}, 'kills_per_min': {'raw': 0.16473459426479561, 'pct': 0.6464208242950108}, 'last_hits_per_min': {'raw': 1.1165344722391701, 'pct': 0.31670281995661603}, 'hero_damage_per_min': {'raw': 281.78767541183646, 'pct': 0.2472885032537961}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.631236442516269}, 'tower_damage': {'raw': 102, 'pct': 0.3796095444685466}}",8657961379,Bounty Hunter,Lotus Orb,Dagon,Orchid Malevolence,Aghanim's Scepter,Aether Lens,Tranquil Boots,Magic Wand,,,Flayer's Bota,Quickened
0,0,0,21,30,63,116,141,166,135,42,0,0,1601,1597,15,13,21,0,231,4,589,1107,29,29796,1,0,0,55768,4043,0,4796,26500,"[5132, 5131, 5131, 5130, 5131, 5133, 5132, 5131, 5130, 5132, 5920, 5130, 5133, 5132, 5130, 5133, 6992, 7889, 1071, 1195, 6562, 7062]",54,3766.99,1768969762,3314,4,59,True,1,32532,61143,0.2715751357875678,2.57,0,"{'gold_per_min': {'raw': 589, 'pct': 0.819140308191403}, 'xp_per_min': {'raw': 1107, 'pct': 0.9367396593673966}, 'kills_per_min': {'raw': 0.2715751357875679, 'pct': 0.6504460665044607}, 'last_hits_per_min': {'raw': 4.1822570911285455, 'pct': 0.5474452554744526}, 'hero_damage_per_min': {'raw': 1009.6801448400724, 'pct': 0.9416058394160584}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8240064882400648}, 'tower_damage': {'raw': 4043, 'pct': 0.6358475263584753}}",8657926118,Windranger,Gem of True Sight,Power Treads,Black King Bar,Daedalus,Maelstrom,Monkey King Bar,Observer Ward,,,Crippling Crossbow,Titanic
0,0,0,40,231,119,100,249,235,30,232,43,0,1642,1587,14,14,18,0,427,10,637,917,30,40180,1,1,0,71443,3596,6482,7180,35055,"[5178, 5180, 5179, 5180, 5180, 1105, 5180, 5179, 5178, 5179, 5179, 1105, 5178, 859, 5178, 811, 1105, 548, 6058, 6979, 6532, 6980, 6981]",54,3766.99,1768884693,4433,4,59,True,1,47063,67751,0.1894879314234152,2.13,0,"{'gold_per_min': {'raw': 637, 'pct': 0.9828178694158075}, 'xp_per_min': {'raw': 917, 'pct': 0.9644902634593356}, 'kills_per_min': {'raw': 0.1894879314234153, 'pct': 0.7640320733104238}, 'last_hits_per_min': {'raw': 5.779381908414166, 'pct': 0.9312714776632303}, 'hero_damage_per_min': {'raw': 966.9704489059327, 'pct': 0.852233676975945}, 'hero_healing_per_min': {'raw': 87.73291224904128, 'pct': 0.8064146620847652}, 'tower_damage': {'raw': 3596, 'pct': 0.7972508591065293}}",8656697856,Venomancer,Guardian Greaves,Shiva's Guard,Eul's Scepter of Divinity,Silver Edge,Octarine Core,Gem of True Sight,Aether Lens,Sentry Ward,,Dezun Bloodrite,Feverish
131,1,3,44,63,208,116,168,135,145,0,0,0,1643,1594,10,10,16,0,415,3,654,927,27,25982,0,0,0,52660,4459,0,2082,26100,"[5190, 5191, 1287, 5190, 5190, 5193, 1287, 5190, 5191, 5191, 5191, 559, 5193, 1287, 1287, 491, 5193, 490, 6192, 483]",54,3766.99,1768708889,3096,22,59,False,0,33746,47833,0.193798449612403,2.36,0,"{'gold_per_min': {'raw': 654, 'pct': 0.6788888888888889}, 'xp_per_min': {'raw': 927, 'pct': 0.6544444444444445}, 'kills_per_min': {'raw': 0.19379844961240308, 'pct': 0.41}, 'last_hits_per_min': {'raw': 8.042635658914728, 'pct': 0.6777777777777778}, 'hero_damage_per_min': {'raw': 1020.5426356589148, 'pct': 0.8322222222222222}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.9733333333333334}, 'tower_damage': {'raw': 4459, 'pct': 0.6022222222222222}}",8653893230,Phantom Assassin,Power Treads,Abyssal Blade,Black King Bar,Desolator,Monkey King Bar,Battle Fury,,,,Giant's Maul,Vampiric
131,1,3,104,50,127,603,939,112,168,0,0,0,1168,1586,11,14,25,0,409,18,608,999,29,33869,1,1,0,54223,4784,4236,2744,31940,"[5595, 5597, 5596, 5595, 5595, 5598, 5595, 5597, 5596, 5596, 5597, 1113, 5598, 5596, 5597, 6671, 5598, 7395, 925, 1176, 463, 6526]",54,3766.99,1770354165,3771,22,59,False,1,38212,62787,0.1750198886237072,2.4,0,"{'gold_per_min': {'raw': 608, 'pct': 0.9102196752626552}, 'xp_per_min': {'raw': 999, 'pct': 0.9274116523400191}, 'kills_per_min': {'raw': 0.17501988862370724, 'pct': 0.44603629417383}, 'last_hits_per_min': {'raw': 6.507557677008751, 'pct': 0.938872970391595}, 'hero_damage_per_min': {'raw': 862.7366746221162, 'pct': 0.8242597898758357}, 'hero_healing_per_min': {'raw': 67.39856801909308, 'pct': 0.7879656160458453}, 'tower_damage': {'raw': 4784, 'pct': 0.728748806112703}}",8679428811,Legion Commander,Phase Boots,Blade Mail,Swift Blink,Harpoon,Assault Cuirass,Desolator,,,,Rattlecage,Tough
131,1,3,33,180,116,1,60,21,23,0,0,0,1158,1593,1,6,6,0,138,1,356,425,16,11147,0,0,0,15590,1134,0,247,11550,"[5147, 5147, 5148, 5146, 5147, 5149, 5147, 5148, 5148, 5146, 461, 5146, 5149, 5146, 5148]",54,3766.99,1770186670,2038,22,59,False,0,12092,14435,0.029440628066732,1.0,0,"{'gold_per_min': {'raw': 356, 'pct': 0.4052631578947368}, 'xp_per_min': {'raw': 425, 'pct': 0.33157894736842103}, 'kills_per_min': {'raw': 0.02944062806673209, 'pct': 0.08947368421052632}, 'last_hits_per_min': {'raw': 4.062806673209029, 'pct': 0.7578947368421053}, 'hero_damage_per_min': {'raw': 458.9793915603533, 'pct': 0.3263157894736842}, 'hero_healing_per_min': {'raw': 0, 'pct': 0.8052631578947368}, 'tower_damage': {'raw': 1134, 'pct': 0.42105263157894735}}",8676947936,Enigma,Arcane Boots,Black King Bar,Blink Dagger,Point Booster,Ogre Axe,Staff of Wizardry,,,,Whisper of the Dread,Greedy
